Data,USD_compra,USD_Venda,EURO_compra,EURO_venda
19/07/2021,"5,1972","5,1978","6,1343","6,1370"
20/07/2021,"5,2459","5,2465","6,1765","6,1778"
21/07/2021,"5,2510","5,2516","6,1951","6,1964"
22/07/2021,"5,1972","5,1978","6,1145","6,1173"
23/07/2021,"5,1695","5,1701","6,0788","6,0811"
26/07/2021,"5,1857","5,1863","6,1233","6,1261"
27/07/2021,"5,1663","5,1669","6,1117","6,1130"
28/07/2021,"5,1521","5,1527","6,0841","6,0853"
29/07/2021,"5,0676","5,0682","6,0228","6,0241"
30/07/2021,"5,1210","5,1216","6,0756","6,0768"
2/08/2021,"5,1373","5,1379","6,0990","6,1002"
3/08/2021,"5,2458","5,2464","6,2205","6,2217"
4/08/2021,"5,2085","5,2091","6,1679","6,1691"
5/08/2021,"5,1459","5,1464","6,0907","6,0933"
6/08/2021,"5,2404","5,2410","6,1622","6,1645"
